combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate,latencymean
4,for_0_a_1,256,xdpdrv,0.0.0.255,60,269935444,9681009.35,4536740.92,0.0011566681
1,for_0_a_1,512,xdpgeneric,0.0.0.255,60,61147310,1481670.71,1027687.18,-40.4095168927
8,for_0_a_800,256,xdpgeneric,0.0.0.255,60,144503125,1734104.04,2428630.75,0.0135913137
4,for_0_a_800,1024,xdpdrv,0.0.0.255,60,71343209,1587301.76,1199047.07,0.005117357
2,for_0_a_800,256,xdpdrv,0.0.0.255,60,63511982,5597735.21,1067429.69,0.0078793895
4,for_0_a_800,64,xdpgeneric,0.0.0.255,60,73938874,2272727.27,1242671.76,-100.253064191
1,for_0_a_800,64,xdpgeneric,0.0.0.255,60,18115820,380228.14,304468.5,-409.2187440288
8,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,48995828,383141.76,823462.65,0.0012646725
4,for_0_a_800,64,xdpdrv,0.0.0.255,60,95970948,20764.27,1612958.92,0.010308986
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,28481423,621118.05,478680.03,0.0092561965
1,for_0_a_800,64,xdpdrv,0.0.0.255,60,28478339,0.0,478628.01,0.0086944585
2,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,33756318,279329.61,567333.78,0.0148345979
1,for_0_a_800,512,xdpdrv,0.0.0.255,60,28483393,0.0,478713.09,0.0088675782
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,48996129,1886792.57,823465.4,0.0070351311
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,96262788,251466.89,1617863.73,0.0102953665
8,for_0_a_800,512,xdpdrv,0.0.0.255,60,140028839,2424242.34,2353429.21,0.0026094713
4,for_0_a_800,256,xdpdrv,0.0.0.255,60,95694297,5263157.92,1608309.5,0.0103938223
1,for_0_a_800,512,xdpgeneric,0.0.0.255,60,17848027,389157.27,299967.22,-138.4435812847
8,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,71342000,1538461.53,1199027.38,0.0009559054
8,for_0_a_800,64,xdpdrv,0.0.0.255,60,252930262,6153845.58,4250934.69,0.0078509764
2,for_0_a_800,512,xdpdrv,0.0.0.255,60,63446663,3508771.95,1066331.82,0.0079865524
8,for_0_a_800,1500,xdpdrv,0.0.0.255,60,49005871,392209.9,823629.52,0.0018069906
