combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
1,for_0_a_0,512,xdpdrv,0.0.0.255,60,1,18,1,0,64,923.276,1.012.998,206.323,7.995,270.593,24.836,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_200,64,xdpgeneric,0.0.0.255,60,1,22,1,0,63,963.720,999.216,203.232,7.242,266.633,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_400,64,xdpgeneric,0.0.0.255,60,0,73,1,0,63,1.807.922,1.005.077,204.993,8.036,267.868,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,64,xdpdrv,0.0.0.255,60,1,17,1,0,62,915.733,999.792,204.319,7.687,266.648,19.494,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,64,xdpgeneric,0.0.0.255,60,1,26,1,0,63,981.961,1.014.800,206.778,7.802,270.892,17.079,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,0,72,1,0,65,1.774.876,1.052.252,213.496,8.138,281.401,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,256,xdpgeneric,0.0.0.255,60,1,24,1,0,63,964.965,1.005.825,204.537,7.887,268.223,19.433,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,1024,xdpdrv,0.0.0.255,60,1,18,1,0,63,923.917,1.008.653,205.365,7.661,269.016,23.809,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,1,27,1,0,64,1.012.392,1.006.980,205.304,7.662,268.853,14.856,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_0,256,xdpdrv,0.0.0.255,60,0,99,1,0,63,1.067.407,1.010.638,205.261,8.060,269.525,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_6400,256,xdpdrv,0.0.0.255,60,1,16,1,0,64,909.911,1.011.673,206.036,7.767,270.128,23.693,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,512,xdpgeneric,0.0.0.255,60,0,72,1,0,63,1.778.016,1.016.275,206.857,8.118,271.507,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,0,70,1,0,64,1.717.098,1.015.868,206.442,8.124,271.447,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
