combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate
2,for_0_a_100,1500,xdpdrv,0.0.0.255,60,49005406,636942.68,823621.26
1,for_0_a_100,1500,xdpdrv,0.0.0.255,60,49005612,766283.55,823624.64
1,for_0_a_100,512,xdpgeneric,0.0.0.255,60,49099979,1851851.68,825210.74
1,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,46994230,1724137.92,789822.11
8,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,49011173,387648.69,823718.23
2,for_0_a_100,128,xdpdrv,0.0.0.255,60,274183743,15929205.33,4608135.74
1,for_0_a_100,128,xdpdrv,0.0.0.255,60,138343427,118906.06,2325102.11
1,for_0_a_100,1024,xdpdrv,0.0.0.255,60,71352949,1265822.69,1199210.79
1,for_0_a_100,256,xdpgeneric,0.0.0.255,60,49836734,636942.68,837593.19
1,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,48246409,606060.58,810864.99
1,for_0_a_100,512,xdpdrv,0.0.0.255,60,137305762,1818182.0,2307662.48
8,for_0_a_100,128,xdpgeneric,0.0.0.255,60,251011923,1807604.56,4218693.07
2,for_0_a_100,512,xdpgeneric,0.0.0.255,60,71834656,1123595.52,1207306.48
4,for_0_a_100,64,xdpdrv,0.0.0.255,60,549182043,14970061.25,9229980.37
4,for_0_a_100,256,xdpdrv,0.0.0.255,60,269926321,10655737.2,4536582.61
