combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
2,for_0_a_3200,64,xdpdrv,0.0.0.255,60,1,0,65,953.315,1.026.586,209.071,7.737,273.806,24.984,0,0,0,0,0,0,0
4,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,0,63,979.398,1.016.038,206.499,7.718,271.609,0,0,0,0,0,0,0,0
1,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,1,0,63,920.558,1.012.479,206.437,7.592,270.251,18.709,0,0,0,0,0,0,0
1,for_0_a_1600,64,xdpdrv,0.0.0.255,60,1,0,64,955.291,1.028.514,208.615,8.050,274.449,0,0,0,0,0,0,0,0
8,for_0_a_6400,128,xdpdrv,0.0.0.255,60,1,0,64,1.609.339,1.041.607,211.788,8.199,278.453,0,0,0,0,0,0,0,0
4,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,1,0,62,976.539,995.691,202.586,8.057,265.458,17.799,0,0,0,0,0,0,0
8,for_0_a_200,256,xdpgeneric,0.0.0.255,60,1,0,65,1.989.977,1.048.037,212.990,8.084,279.864,0,0,0,0,0,0,0,0
4,for_0_a_100,64,xdpdrv,0.0.0.255,60,1,0,63,970.396,1.029.979,209.924,7.897,274.996,18.858,0,0,0,0,0,0,0
2,for_0_a_0,1024,xdpdrv,0.0.0.255,60,1,0,65,948.360,1.052.566,212.954,7.509,280.217,20.994,0,0,0,0,0,0,0
1,for_0_a_1,128,xdpdrv,0.0.0.255,60,1,0,62,936.601,1.001.812,204.300,7.688,267.207,21.521,0,0,0,0,0,0,0
8,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1,0,64,1.668.822,1.019.206,207.602,7.859,272.407,0,0,0,0,0,0,0,0
4,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,1,0,63,943.640,1.013.939,206.615,7.663,270.484,19.125,0,0,0,0,0,0,0
1,for_0_a_12800,64,xdpdrv,0.0.0.255,60,1,0,63,939.935,1.009.380,205.556,7.817,269.368,0,0,0,0,0,0,0,0
