combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
8,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,0,79,1,0,63,1584486,1017040,206606,8128,270269,0,0,0,0,0,0,0
2,for_0_a_400,256,xdpgeneric,0.0.0.255,60,1,28,1,0,65,1009355,1029914,209595,7349,274858,15902,0,0,0,0,0,0
1,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1,28,1,0,63,1010293,1007408,204793,7941,268600,15283,0,0,0,0,0,0
2,for_0_a_100,256,xdpgeneric,0.0.0.255,60,1,30,1,0,65,1032418,1039738,211337,7897,278001,14855,0,0,0,0,0,0
2,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,1,15,1,0,63,992241,994147,202708,8056,265319,0,0,0,0,0,0,0
4,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,1,29,1,0,65,1022174,1014415,206257,7794,270933,15636,0,0,0,0,0,0
1,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1015774,1017829,207079,8135,271585,15298,0,0,0,0,0,0
4,for_0_a_400,512,xdpgeneric,0.0.0.255,60,1,13,1,0,64,1562872,1286777,254865,7939,352058,0,0,0,0,0,0,0
4,for_0_a_400,128,xdpgeneric,0.0.0.255,60,1,29,1,0,62,1021880,998790,203295,7578,266285,14600,0,0,0,0,0,0
8,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,0,74,1,0,62,1816836,1011343,205841,8152,270038,0,0,0,0,0,0,0
2,for_0_a_0,64,xdpgeneric,0.0.0.255,60,0,95,1,0,62,1218924,995385,202652,8185,265523,6936,0,0,0,0,0,0
4,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,22,1,0,65,962371,1037049,211141,7786,276919,19641,0,0,0,0,0,0
1,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,1,25,1,0,63,991184,1009023,205404,7674,269274,14933,0,0,0,0,0,0
1,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1024486,1027193,208520,8223,273937,16613,0,0,0,0,0,0
8,for_0_a_100,128,xdpgeneric,0.0.0.255,60,0,71,1,0,63,1752941,1010285,205441,8161,269900,0,0,0,0,0,0,0
1,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1015559,1035396,211073,7748,276566,15399,0,0,0,0,0,0
8,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,0,72,1,0,64,1777272,1001647,204183,7645,267249,0,0,0,0,0,0,0
2,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1022335,1012003,205526,7888,269887,15866,0,0,0,0,0,0
8,for_0_a_800,256,xdpgeneric,0.0.0.255,60,0,73,1,0,63,1789121,1007001,204505,7757,269146,0,0,0,0,0,0,0
2,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,1,28,1,0,62,1017441,1007323,205416,7659,268566,14931,0,0,0,0,0,0
